Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-04,,19986.712890625,,,,,19999.689453125,,,,,19636.81640625,,,,,19832.470703125,,,,,25245861652.0,,,
2022-09-05,,19812.37109375,,,,,20031.16015625,,,,,19673.046875,,,,,19988.7890625,,,,,28813460025.0,,,
2022-09-06,126.11000061035156,18837.66796875,1700.4000244140625,105.9344482421875,246.07969665527344,128.6199951171875,20155.26953125,1717.4000244140625,107.14444879573196,250.53000941495102,124.73999786376953,18800.171875,1699.699951171875,104.91289263064388,244.80678924426493,127.91999816894531,19817.724609375,1709.699951171875,106.42043703294185,248.94618474623337,43888600.0,43403978910.0,697.0,25068300.0,21328200.0
2022-09-07,129.47999572753906,19290.32421875,1715.300048828125,108.55281829833984,250.78265380859375,129.82000732421875,19427.171875,1715.300048828125,109.07848016205685,251.5016925834483,125.4000015258789,18644.466796875,1694.699951171875,106.02372558510477,246.05054362667008,126.12000274658203,18837.68359375,1694.800048828125,106.1824101054521,247.4886360031437,47900300.0,35239757134.0,651.0,23167000.0,24126700.0
2022-09-08,129.82000732421875,19329.833984375,1708.0,107.49158477783203,251.20050048828125,130.27999877929688,19417.3515625,1718.199951171875,108.70158540495544,253.05642612748184,127.0999984741211,19076.71484375,1705.300048828125,106.28159171756349,247.5761123040182,127.72000122070312,19289.94140625,1718.199951171875,107.15437545780347,250.21911682986428,43988500.0,32194477850.0,1193.0,24238300.0,20319900.0
2022-09-09,133.27000427246094,21381.15234375,1716.199951171875,109.74297332763672,256.9722595214844,133.69000244140625,21439.41015625,1720.0,110.08018262294702,257.72047726789003,130.75999450683594,19310.962890625,1712.800048828125,108.12633003878351,252.92034253890802,130.91000366210938,19328.140625,1719.199951171875,108.17592320190764,253.12438844541632,49387600.0,48469528171.0,635.0,23197700.0,22084700.0
2022-09-10,,21680.5390625,,,,,21760.275390625,,,,,21168.72265625,,,,,21376.912109375,,,,,36913738894.0,,,
2022-09-11,,21769.255859375,,,,,21770.552734375,,,,,21406.9453125,,,,,21678.54296875,,,,,34493951963.0,,,
2022-09-12,136.4499969482422,22370.44921875,1728.0999755859375,109.95125579833984,259.10028076171875,136.49000549316406,22439.181640625,1728.0999755859375,110.70502802301867,259.8776479982531,134.0,21603.896484375,1727.4000244140625,109.02887891863624,257.65247691062,134.10000610351562,21770.1484375,1727.4000244140625,110.0801874345021,258.25491798547915,53826900.0,50212088965.0,68.0,22966800.0,18747700.0
2022-09-13,126.81999969482422,20296.70703125,1705.0,103.4648666381836,244.85537719726562,131.39999389648438,22673.8203125,1720.5,107.4122450675289,253.02725242179903,126.2699966430664,20062.669921875,1697.300048828125,103.2367486673143,244.46669355719365,131.00999450683594,22371.48046875,1720.5,106.91634367306543,251.51142329243044,72694000.0,51091116622.0,432.0,38172900.0,33353300.0
2022-09-14,128.5500030517578,20241.08984375,1696.5,104.1392822265625,245.07887268066406,128.83999633789062,20467.201171875,1701.800048828125,104.41698576847003,247.03195802459214,126.33000183105469,19793.396484375,1696.5,102.81027025690392,242.78569098884205,127.36000061035156,20184.5546875,1698.699951171875,103.71280676810338,246.35178015556986,45316800.0,37872380889.0,532.0,26395100.0,23913000.0
2022-09-15,126.27999877929688,19701.2109375,1665.4000244140625,102.0664291381836,238.43255615234375,130.3699951171875,20318.166015625,1686.0,104.40707676995653,244.28210110293705,125.5,19636.734375,1662.300048828125,101.51101442821535,237.11106126505769,127.37999725341797,20242.2890625,1685.5,103.17724342441045,242.69826140604198,52887200.0,36389011503.0,1125.0,34188300.0,31530900.0
